City,day,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,visibility,moonphase,month,year
Jaipur,7,38.266666666666666,26.160000000000004,32.38,37.24666666666667,26.09333333333333,31.793333333333333,10.479999999999999,30.000666666666667,24.726666666666667,209.85,,29.8,4.24,0.42133333333333334,5.0,2009.0
Jaipur,8,38.059999999999995,25.433333333333334,31.733333333333334,36.986666666666665,25.466666666666665,31.166666666666668,11.253333333333334,33.36933333333333,25.89333333333333,207.16666666666666,,29.426666666666666,4.133333333333334,0.45866666666666667,5.0,2009.0
Jaipur,9,38.54666666666667,25.64666666666667,31.926666666666666,37.78,25.473333333333336,31.533333333333335,11.74,33.90133333333333,27.886666666666667,221.85000000000002,,31.293333333333333,3.9733333333333336,0.4966666666666667,5.0,2009.0
Jaipur,10,39.71333333333334,26.540000000000003,32.766666666666666,38.519999999999996,26.56,32.32,11.173333333333334,30.718,26.5,216.4416666666667,,23.4,4.14,0.538,5.0,2009.0
Jaipur,11,40.080000000000005,26.92,33.346666666666664,39.086666666666666,26.846666666666668,32.82,11.266666666666667,30.289333333333335,25.666666666666668,250.15833333333333,,25.02,4.446666666666667,0.5793333333333333,5.0,2009.0
Jaipur,12,39.70666666666667,27.153333333333332,33.61333333333333,39.2,27.166666666666668,33.26,12.033333333333333,30.644,23.993333333333332,227.41666666666666,,26.30666666666667,4.333333333333333,0.5513333333333333,5.0,2009.0
Jaipur,13,39.85333333333334,27.433333333333334,33.72666666666667,39.50666666666667,27.240000000000002,33.31333333333333,12.153333333333334,31.991333333333333,24.9,221.13333333333333,,29.446666666666665,4.266666666666667,0.5886666666666667,5.0,2009.0
Jaipur,14,40.27333333333333,27.613333333333337,33.85333333333333,39.88,27.726666666666667,33.693333333333335,12.073333333333332,31.093999999999998,23.720000000000002,199.84166666666667,,29.38,4.3,0.5559999999999999,5.0,2009.0
Jaipur,15,39.88,27.080000000000002,33.63333333333333,39.84,27.02,33.62,12.506666666666666,32.048,25.566666666666666,225.6833333333333,,32.413333333333334,4.26,0.452,5.0,2009.0
Jaipur,16,39.06666666666667,27.133333333333333,32.98,39.45333333333333,27.013333333333332,33.1,13.473333333333333,36.532000000000004,24.333333333333332,226.5583333333333,,36.126666666666665,4.06,0.4793333333333333,5.0,2009.0
Jaipur,17,39.153333333333336,27.360000000000003,33.333333333333336,39.24666666666667,27.433333333333334,33.1,13.513333333333332,36.17266666666667,22.853333333333335,248.70000000000002,,32.43333333333333,4.319999999999999,0.3733333333333333,5.0,2009.0
Jaipur,18,39.626666666666665,27.233333333333334,33.35333333333333,39.7,27.026666666666664,33.24,12.493333333333334,33.38333333333333,24.953333333333333,258.72499999999997,,30.113333333333333,4.073333333333333,0.4013333333333334,5.0,2009.0
Jaipur,19,39.89333333333333,27.780000000000005,34.0,39.513333333333335,27.62,33.71333333333333,12.346666666666666,32.36866666666666,23.639999999999997,237.3166666666667,,25.279999999999998,4.206666666666667,0.4346666666666667,5.0,2009.0
Jaipur,20,39.89333333333333,26.873333333333335,33.4,40.0,26.946666666666665,33.28,12.706666666666667,34.19133333333333,24.09333333333333,227.20000000000002,,24.073333333333334,3.8,0.4693333333333333,5.0,2009.0
Jaipur,21,39.526666666666664,27.993333333333336,33.72,39.84666666666667,27.78666666666667,33.71333333333333,12.68,33.87466666666667,26.166666666666668,237.84166666666667,,23.333333333333332,3.9466666666666668,0.506,5.0,2009.0
Jaipur,22,39.580000000000005,27.0,33.29333333333333,40.093333333333334,26.966666666666665,33.42666666666667,11.886666666666667,33.708,25.826666666666664,228.475,,19.986666666666668,3.953333333333333,0.5453333333333333,5.0,2009.0
Jaipur,23,39.02,27.073333333333334,33.166666666666664,39.98666666666667,27.526666666666664,33.7,12.866666666666667,36.00533333333333,26.953333333333333,248.6,,28.293333333333333,3.966666666666667,0.5153333333333333,5.0,2009.0
Jaipur,24,39.46,27.266666666666666,33.26,39.940000000000005,27.693333333333335,33.85333333333333,13.3,35.78866666666667,27.626666666666665,235.225,,27.959999999999997,4.3933333333333335,0.5519999999999999,5.0,2009.0
Jaipur,25,39.84,27.206666666666667,33.346666666666664,40.4,27.71333333333333,34.0,13.626666666666665,35.916000000000004,22.02,206.0,,28.10666666666667,4.02,0.45466666666666666,5.0,2009.0
Jaipur,26,40.18666666666666,28.193333333333335,34.086666666666666,40.86,28.6,34.64,13.860000000000001,34.946,22.686666666666667,229.725,,26.373333333333335,4.033333333333333,0.49133333333333334,5.0,2009.0
Jaipur,27,40.07333333333334,27.946666666666665,34.02,40.89333333333333,28.946666666666665,34.88,14.806666666666667,36.658,27.08,242.98333333333335,,27.946666666666665,3.966666666666667,0.5273333333333333,5.0,2009.0
Jaipur,28,39.53333333333333,27.366666666666667,33.21333333333334,39.940000000000005,27.413333333333334,33.71333333333333,14.513333333333332,40.559333333333335,24.44,235.96666666666667,,34.82666666666667,3.8466666666666667,0.5613333333333334,5.0,2009.0
Jaipur,29,39.63333333333333,27.266666666666666,33.18,40.413333333333334,27.506666666666668,33.6,14.493333333333334,39.977999999999994,24.173333333333336,249.375,,36.95333333333333,4.166666666666667,0.596,5.0,2009.0
Jaipur,30,39.54666666666667,27.64,33.56666666666667,39.92666666666666,27.633333333333333,34.026666666666664,14.346666666666666,37.669999999999995,21.673333333333336,255.525,,34.60666666666667,4.38,0.6293333333333333,5.0,2009.0
Jaipur,31,39.4,27.52,33.62,39.38,27.380000000000003,33.32,14.02,34.513999999999996,28.080000000000002,241.325,,23.580000000000002,3.88,0.652,5.0,2009.0
