Puesto de trabajo,Orden de p,      Cant. Producida,       Valor Est.,     Cant. Producida,    Valor Est. Producida,     Cant. Constrastada,       Valor Est. Contrastada,merma rec.,    Valor Est. Merma,c.costo,total producido,merma no recuperada
PA-613,13365992,1887744.0,10073455.03,117984,605766.43,2109105.308,10753969.41,48983.821,112420.62,ASVC-PA613,2005728.0,54393.4870000002
PA-613,13365993,2230515.0,11262561.69,199290,1015482.19,2528618.171,12183514.5,51375.799,106816.38,ASVC-PA613,2429805.0,47437.371999999974
PA-613,13365996,7605213.0,38217488.23,0,0.0,8081957.239,38771088.51,293864.797,825048.95,ASVC-PA613,7605213.0,182879.4419999998
PA-613,13365999,649992.0,3411762.52,0,0.0,692667.814,3473161.11,38218.731,118837.48,ASVC-PA613,649992.0,4457.082999999984
PA-613,13366001,1632112.0,8494718.59,368700,1918987.64,2084532.182,10362918.21,47584.973,107010.96,ASVC-PA613,2000812.0,36135.20900000003
PA-613,13366005,471936.0,2347036.84,0,0.0,563865.174,2673076.18,30180.336,95249.31,ASVC-PA613,471936.0,61748.83799999999
PA-613,13366010,2175330.0,11168818.59,73740,393494.34,2311475.478,11333302.92,47554.336,98871.08,ASVC-PA613,2249070.0,14851.141999999993
PA-613,13366011,2500353.0,13342483.69,0,0.0,2574496.33,13126919.13,52867.465,109917.69,ASVC-PA613,2500353.0,21275.865000000224
PA-613,13366012,719520.0,3839531.41,0,0.0,736104.84,3753273.45,14072.517,29258.4,ASVC-PA613,719520.0,2512.322999999975
PA-613,13366014,255632.0,1283996.08,88488,449292.52,353608.27,1695544.59,7276.076,15127.83,ASVC-PA613,344120.0,2212.1940000000177
PA-613,13366015,1140512.0,5726681.81,0,0.0,1172015.98,5617882.79,26609.641,55324.6,ASVC-PA613,1140512.0,4894.33899999992
PA-613,13366016,108843.0,546786.96,0,0.0,233103.749,1117347.85,2301.377,4784.83,ASVC-PA613,108843.0,121959.372
PA-613,13366017,1073433.0,5431968.18,0,0.0,1113672.224,5377889.74,22696.668,47189.06,ASVC-PA613,1073433.0,17542.555999999866
PA-613,13366018,2741004.0,13807396.5,185493,942289.61,3080930.953,14808956.73,74161.205,173951.6,ASVC-PA613,2926497.0,80272.74800000014
PA-613,13366019,816056.0,4143475.37,0,0.0,906442.466,4394369.62,17254.687,35874.54,ASVC-PA613,816056.0,73131.77899999998
PA-613,13366020,1870260.0,9500771.15,165564,840656.59,2122332.598,10288919.87,46176.29,101042.94,ASVC-PA613,2035824.0,40332.308000000194
PA-613,13375208,486684.0,2539405.18,0,0.0,502860.267,2506245.51,10290.447,21395.04,ASVC-PA613,486684.0,5885.820000000007
PA-613,13375757,176295.0,882245.41,210021,1047228.02,449434.106,2130600.79,17875.802,49915.17,ASVC-PA613,386316.0,45242.304000000004
PA-613,13377209,81249.0,404123.59,41391,209024.55,125952.337,597176.56,2593.1,5391.37,ASVC-PA613,122640.0,719.2369999999937
PA-613,13380648,43524.0,221945.85,0,0.0,44753.833,217915.81,920.272,1913.36,ASVC-PA613,43524.0,309.5610000000015
PA-614,13304611,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ASVC-PA614,0.0,0.0
PA-614,13344974,1174924.0,6151020.87,0,0.0,1244370.347,6055578.95,50771.07,138330.88,ASVC-PA614,1174924.0,18675.277000000002
PA-614,13348732,678408.0,3571933.47,216304,1098270.58,962024.219,4709204.74,43474.352,123050.55,ASVC-PA614,894712.0,23837.867000000086
PA-614,13348756,208930.0,1094059.86,0,0.0,228457.472,1112035.02,18050.57,57806.19,ASVC-PA614,208930.0,1476.9020000000019
PA-614,13362719,1464968.0,7476171.19,162228,805729.7,1697720.517,8046702.89,42372.185,88733.15,ASVC-PA614,1627196.0,28152.331999999937
PA-614,13363893,481768.0,2615658.18,0,0.0,497174.05,2512051.43,12545.239,26271.45,ASVC-PA614,481768.0,2860.810999999987
PA-614,13363894,1088894.0,5965048.45,0,0.0,1211643.631,6178776.7,101492.984,328573.97,ASVC-PA614,1088894.0,21256.647000000114
PA-614,13363895,1600158.0,8879900.82,0,0.0,1771939.922,9157314.64,84664.751,245513.77,ASVC-PA614,1600158.0,87117.17100000009
PA-614,13363896,425234.0,2253221.42,0,0.0,449301.584,2213879.64,11073.093,23188.58,ASVC-PA614,425234.0,12994.49099999998
PA-614,13365966,216216.0,1144271.29,0,0.0,235897.76,1160263.13,9805.704,27390.83,ASVC-PA614,216216.0,9876.056000000011
PA-614,13365978,752148.0,3937682.82,0,0.0,786955.402,3829624.02,19585.932,41015.64,ASVC-PA614,752148.0,15221.469999999972
PA-614,13365997,1098726.0,5815787.47,0,0.0,1149738.776,5659037.26,28610.823,59915.01,ASVC-PA614,1098726.0,22401.95299999998
PA-614,13366002,643996.0,3546524.63,0,0.0,711840.026,3647973.7,31901.693,90813.53,ASVC-PA614,643996.0,35942.332999999984
PA-614,13366003,422776.0,2260934.17,0,0.0,456785.39,2271068.45,11009.086,23054.55,ASVC-PA614,422776.0,23000.304000000004
PA-614,13366007,553518.0,3033721.45,0,0.0,575728.721,2935928.61,18529.055,45331.52,ASVC-PA614,553518.0,3681.6659999999683
PA-614,13366009,840636.0,4880976.4,0,0.0,904184.138,4895777.35,37214.216,101938.68,ASVC-PA614,840636.0,26333.92200000002
PA-614,13372401,459646.0,2668837.97,0,0.0,492028.303,2664126.6,11969.182,25065.12,ASVC-PA614,459646.0,20413.121000000043
PA235,13330063,54483.0,301725.22,5588,30946.18,60372.0,330886.86,0.0,0.0,ASVC-PA235,60071.0,301.0
